GIST Output v4 spacing=0.5000 center=39.484000,35.880000,33.355000 dims=25,31,47 
voxel xcoord ycoord zcoord population g_O g_H dTStrans-dens(kcal/mol/A^3) dTStrans-norm(kcal/mol) dTSorient-dens(kcal/mol/A^3) dTSorient-norm(kcal/mol) dTSsix-dens(kcal/mol/A^3) dTSsix-norm(kcal/mol) Esw-dens(kcal/mol/A^3) Esw-norm(kcal/mol) Eww-dens(kcal/mol/A^3) Eww-norm-unref(kcal/mol) Dipole_x-dens(D/A^3) Dipole_y-dens(D/A^3) Dipole_z-dens(D/A^3) Dipole-dens(D/A^3) neighbor-dens(1/A^3) neighbor-norm order-norm
0 33.484 28.38 21.855 43 1.12575 1.29341 0 0 -0.00027228 -0.00791511 0 0 -0.00105061 -0.030541 -0.323051 -9.39103 0.00251921 -0.000687015 0.00199742 0.00328757 0.1856 5.39535 0 
1 33.484 28.38 22.355 37 0.742515 0.922156 0 0 0.00340346 0.114982 0 0 -0.0037985 -0.128328 -0.283117 -9.56475 0.00187956 -0.00453387 0.00798284 0.00937093 0.1592 5.37838 0 
2 33.484 28.38 22.855 44 1.07784 0.862275 0 0 4.98139e-05 0.00141517 0 0 -0.000983703 -0.0279461 -0.327153 -9.29412 0.00780003 0.00307124 -0.00555269 0.0100551 0.1968 5.59091 0 
3 33.484 28.38 23.355 33 0.742515 0.922156 0 0 0.00403282 0.152758 0 0 -0.00364814 -0.138187 -0.260651 -9.87315 0.00551596 -0.000167074 0.00874884 0.0103439 0.1384 5.24242 0 
4 33.484 28.38 23.855 33 0.790419 0.934132 0 0 -0.000785158 -0.0297409 0 0 -0.00134273 -0.0508608 -0.248385 -9.40851 0.00287505 -0.000130078 -0.00456469 0.00539622 0.136 5.15152 0 
5 33.484 28.38 24.355 61 1.41317 0.91018 0 0 -0.0031384 -0.0643114 0 0 -0.000985986 -0.0202046 -0.468327 -9.59686 -0.0101526 -0.00662336 -0.00799176 0.0145194 0.2536 5.19672 0 
6 33.484 28.38 24.855 56 1.26946 1.17365 0 0 0.00152557 0.0340529 0 0 -0.0113508 -0.253367 -0.404185 -9.02199 -0.00314063 -0.0260632 0.0131053 0.0293411 0.228 5.08929 0 
7 33.484 28.38 25.355 43 1.05389 0.874251 0 0 -0.00381244 -0.110827 0 0 -0.00936187 -0.272147 -0.310395 -9.02311 0.0157635 -0.0124487 0.00639317 0.0210792 0.18 5.23256 0 
8 33.484 28.38 25.855 40 0.814371 1.16168 0 0 -0.00147247 -0.0460146 0 0 -0.00359433 -0.112323 -0.315607 -9.86271 0.00550856 0.000175712 0.0011857 0.00563746 0.1784 5.575 0 
9 33.484 28.38 26.355 44 1.1018 1.00599 0 0 0.00129779 0.0368689 0 0 0.000390645 0.0110979 -0.349882 -9.93982 -0.0103497 -0.00498638 -0.0119943 0.0166085 0.1896 5.38636 0 
10 33.484 28.38 26.855 41 0.862275 0.97006 0 0 -0.00568058 -0.173189 0 0 -9.41916e-06 -0.000287169 -0.310479 -9.46584 0.00163774 0.0102391 0.00104851 0.0104221 0.1792 5.46341 0 
11 33.484 28.38 27.355 44 1.00599 0.91018 0 0 -0.0044088 -0.12525 0 0 -0.00427561 -0.121466 -0.345872 -9.82591 -0.00179568 -0.0136315 -0.007352 0.0155915 0.1832 5.20455 0 
12 33.484 28.38 27.855 39 1.05389 0.766467 0 0 0.00294707 0.0944574 0 0 -0.00398647 -0.127771 -0.301751 -9.6715 -0.00637981 -0.000951152 0.00177345 0.00668968 0.1728 5.53846 0 
13 33.484 28.38 28.355 32 0.718563 0.934132 0 0 0.00117257 0.0458034 0 0 -0.00331143 -0.129353 -0.243247 -9.50183 0.00278155 -0.00512844 -0.00229043 0.00626769 0.1368 5.34375 0 
14 33.484 28.38 28.855 45 0.934132 0.814371 0 0 0.00183996 0.05111 0 0 -0.00289507 -0.0804186 -0.354286 -9.84129 -0.0049116 -0.00267749 -0.00404862 0.00690536 0.2008 5.57778 0 
15 33.484 28.38 29.355 39 0.862275 1.18563 0 0 -0.00832753 -0.266908 0 0 -0.0100863 -0.32328 -0.288667 -9.25215 -0.00950368 -0.00837094 0.00734557 0.0146407 0.1792 5.74359 0 
16 33.484 28.38 29.855 39 1.12575 0.898204 0 0 -0.00831112 -0.266382 0 0 -0.0085943 -0.275458 -0.291938 -9.35698 -0.00326992 -0.0105404 0.0046654 0.0119816 0.172 5.51282 0 
17 33.484 28.38 30.355 38 0.862275 1.18563 0 0 -0.000679182 -0.0223415 0 0 -0.00338546 -0.111364 -0.275166 -9.05152 0.00436753 -0.00667541 -0.00461947 0.00921824 0.1608 5.28947 0 
18 33.484 28.38 30.855 25 0.598802 0.922156 0 0 0.00255098 0.127549 0 0 -0.00849791 -0.424896 -0.171915 -8.59576 -0.0110077 -0.0110443 0.00477986 0.0163093 0.1128 5.64 0 
19 33.484 28.38 31.355 37 0.982036 0.874251 0 0 0.00377105 0.1274 0 0 -0.0120428 -0.406853 -0.265017 -8.95326 0.000617007 0.00417653 0.00854271 0.009529 0.1664 5.62162 0 
20 33.484 28.38 31.855 47 1.1018 0.874251 0 0 0.00419214 0.111493 0 0 -0.0159986 -0.425494 -0.353338 -9.39729 -0.00318884 0.00885519 0.00661387 0.0115033 0.208 5.53191 0 
21 33.484 28.38 32.355 44 1.00599 0.634731 0 0 -0.00689075 -0.19576 0 0 -0.0194845 -0.553537 -0.349174 -9.91971 -0.0152981 0.0103745 0.00418374 0.0189517 0.1904 5.40909 0 
22 33.484 28.38 32.855 29 0.718563 0.814371 0 0 -0.0060021 -0.258711 0 0 -0.0130915 -0.564289 -0.234205 -10.0951 -0.00613224 -0.00402149 0.00524843 0.00901792 0.1176 5.06897 0 
23 33.484 28.38 33.355 26 0.622755 0.874251 0 0 -0.000685776 -0.03297 0 0 -0.0139939 -0.672783 -0.178512 -8.58232 -0.00722297 -0.000798235 0.00121993 0.00736863 0.1 4.80769 0 
24 33.484 28.38 33.855 36 0.814371 1.1976 0 0 0.00200857 0.0697421 0 0 -0.0140533 -0.48796 -0.262215 -9.10468 -0.00661046 -0.00765846 0.00236247 0.010389 0.1464 5.08333 0 
25 33.484 28.38 34.355 46 1.1018 1.22156 0 0 -0.0118834 -0.322918 0 0 -0.0201585 -0.547785 -0.347314 -9.43788 -0.0156807 -0.0123621 -0.0204781 0.0286017 0.1752 4.76087 0 
26 33.484 28.38 34.855 37 0.934132 0.598802 0 0 -0.00785172 -0.265261 0 0 -0.0195132 -0.659228 -0.275257 -9.29923 -0.00377725 -0.00690642 -0.00746482 0.0108485 0.148 5 0 
27 33.484 28.38 35.355 26 0.57485 0.57485 0 0 -0.011473 -0.551588 0 0 -0.014313 -0.688124 -0.212888 -10.235 0.0169886 -0.000819711 0.0130725 0.0214516 0.0984 4.73077 0 
28 33.484 28.38 35.855 31 0.766467 0.898204 0 0 -0.0193215 -0.779095 0 0 -0.030065 -1.2123 -0.238824 -9.63002 0.0229511 -0.00709512 0.0161226 0.0289315 0.1024 4.12903 0 
29 33.484 28.38 36.355 47 0.886228 2.56287 0 0 -0.022705 -0.603857 0 0 -0.0812098 -2.15983 -0.351975 -9.36103 0.0164423 -0.0206722 -0.00284429 0.0265665 0.1624 4.31915 0 
30 33.484 28.38 36.855 165 3.68862 4.5988 0 0 -0.11629 -0.880986 0 0 -0.32887 -2.49144 -1.16867 -8.85354 -0.00620671 -0.128527 -0.0778934 0.150416 0.4904 3.71515 0 
31 33.484 28.38 37.355 176 3.64072 4.68263 0 0 -0.128389 -0.911856 0 0 -0.378234 -2.68632 -1.13244 -8.04289 -0.0101571 -0.186832 -0.0435135 0.192101 0.4848 3.44318 0 
32 33.484 28.38 37.855 19 0.287425 1.36527 0 0 -0.0198943 -1.30884 0 0 -0.054517 -3.58665 -0.109032 -7.17317 0.000875788 -0.0256167 0.00927424 0.0272579 0.048 3.15789 0 
33 33.484 28.38 38.355 0 0 0.467066 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
34 33.484 28.38 38.855 0 0 0.0838323 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
35 33.484 28.38 39.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
36 33.484 28.38 39.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
37 33.484 28.38 40.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
38 33.484 28.38 40.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
39 33.484 28.38 41.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
40 33.484 28.38 41.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
41 33.484 28.38 42.355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
42 33.484 28.38 42.855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
43 33.484 28.38 43.355 0 0 0.491018 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
44 33.484 28.38 43.855 0 0 1.62874 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
45 33.484 28.38 44.355 48 0.814371 0.371257 0 0 -0.0877557 -2.28531 0 0 -0.308992 -8.04666 -0.230044 -5.99072 0.0433432 0.0498849 -0.0447558 0.0798136 0.152 3.95833 0 
46 33.484 28.38 44.855 84 2.01198 0.622755 0 0 -0.121497 -1.808 0 0 -0.474127 -7.05546 -0.450529 -6.70431 0.0677663 0.0874875 -0.0712844 0.131635 0.2888 4.29762 0 
47 33.484 28.88 21.855 44 1.05389 0.838323 0 0 -0.00312278 -0.0887154 0 0 -0.00471022 -0.133813 -0.320163 -9.09553 -0.00194302 -0.0146735 0.00238187 0.014992 0.192 5.45455 0 
48 33.484 28.88 22.355 32 0.862275 0.91018 0 0 0.00448398 0.175156 0 0 -0.00273874 -0.106982 -0.253572 -9.90516 -0.00305813 -0.00804482 0.00166827 0.00876667 0.128 5 0 
49 33.484 28.88 22.855 52 1.34132 0.754491 0 0 0.00768171 0.184656 0 0 -0.00267813 -0.0643782 -0.406941 -9.78223 -0.00510478 -0.00584453 -0.000524222 0.00777766 0.2192 5.26923 0 
50 33.484 28.88 23.355 29 0.670659 0.994012 0 0 0.000163489 0.00704694 0 0 -0.00272692 -0.11754 -0.216486 -9.33128 0.00533474 -0.00324835 4.15003e-05 0.00624603 0.1288 5.55172 0 
